Country,Continent,ISO_Code,Level,GDLCODE,Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cambodia,Asia/Pacific,KHM,Subnat,KHMr112,Takaev,0.395,0.4,0.404,0.407,0.408,0.412,0.417,0.422,0.428,0.438,0.447,0.464,0.486,0.502,0.518,0.531,0.536,0.538,0.535,0.529,0.526,0.542,0.557,0.571,0.586,0.591,0.599,0.607,0.615,0.622,0.624,0.624,0.631,0.636
Lao,Asia/Pacific,LAO,National,LAOt,Total,0.409,0.415,0.42,0.426,0.434,0.436,0.449,0.455,0.462,0.469,0.473,0.479,0.488,0.496,0.505,0.514,0.515,0.529,0.537,0.548,0.556,0.567,0.577,0.587,0.597,0.604,0.609,0.612,0.613,0.615,0.616,0.613,0.614,0.617
Lao,Asia/Pacific,LAO,Subnat,LAOr117,Attapeu,0.379,0.384,0.389,0.395,0.403,0.404,0.416,0.422,0.428,0.435,0.439,0.444,0.453,0.461,0.469,0.478,0.479,0.492,0.499,0.51,0.517,0.528,0.537,0.55,0.564,0.575,0.582,0.589,0.59,0.592,0.593,0.589,0.591,0.593
Lao,Asia/Pacific,LAO,Subnat,LAOr105,Bokeo,0.38,0.385,0.39,0.396,0.403,0.405,0.417,0.423,0.429,0.436,0.439,0.445,0.454,0.462,0.47,0.479,0.48,0.493,0.5,0.511,0.518,0.529,0.538,0.55,0.563,0.572,0.579,0.585,0.586,0.588,0.588,0.585,0.586,0.589
Lao,Asia/Pacific,LAO,Subnat,LAOr111,Borikhamxay,0.453,0.459,0.465,0.471,0.48,0.482,0.495,0.503,0.509,0.517,0.521,0.528,0.537,0.546,0.555,0.566,0.567,0.582,0.59,0.602,0.61,0.622,0.632,0.639,0.645,0.649,0.649,0.648,0.649,0.652,0.652,0.649,0.651,0.653
Lao,Asia/Pacific,LAO,Subnat,LAOr116,Champasack,0.41,0.416,0.422,0.428,0.436,0.438,0.45,0.457,0.463,0.47,0.474,0.48,0.489,0.497,0.506,0.515,0.516,0.53,0.538,0.549,0.557,0.568,0.577,0.586,0.594,0.599,0.602,0.603,0.605,0.607,0.608,0.605,0.606,0.609
Lao,Asia/Pacific,LAO,Subnat,LAOr107,Huaphanh,0.394,0.4,0.405,0.411,0.419,0.42,0.433,0.44,0.446,0.453,0.457,0.463,0.472,0.48,0.489,0.498,0.499,0.513,0.521,0.532,0.54,0.551,0.56,0.569,0.577,0.582,0.584,0.585,0.586,0.588,0.588,0.584,0.585,0.588
Lao,Asia/Pacific,LAO,Subnat,LAOr112,Khammuane,0.386,0.392,0.397,0.402,0.41,0.412,0.424,0.43,0.436,0.443,0.447,0.452,0.461,0.469,0.477,0.486,0.487,0.501,0.508,0.519,0.526,0.537,0.546,0.559,0.572,0.582,0.588,0.594,0.595,0.597,0.598,0.594,0.596,0.598
Lao,Asia/Pacific,LAO,Subnat,LAOr103,Luangnamtha,0.399,0.404,0.41,0.415,0.423,0.424,0.437,0.444,0.45,0.457,0.461,0.466,0.475,0.484,0.492,0.502,0.503,0.516,0.524,0.535,0.542,0.554,0.562,0.57,0.577,0.581,0.582,0.582,0.582,0.584,0.584,0.58,0.58,0.583
Lao,Asia/Pacific,LAO,Subnat,LAOr106,Luangprabang,0.386,0.391,0.396,0.402,0.41,0.412,0.424,0.43,0.436,0.443,0.447,0.453,0.462,0.47,0.478,0.487,0.488,0.502,0.509,0.52,0.527,0.539,0.547,0.561,0.575,0.586,0.593,0.598,0.599,0.601,0.601,0.598,0.599,0.601
